progress_id,entry_id,collection_id,series,title,mapped_game_id,user_status,user_bucket,notes
UFP018,REM020,resident_evil_master,Resident Evil,Resident Evil 5,resident_evil_5,completed,played,"Positive continuation with strong campaign momentum."
UFP019,REM027,resident_evil_master,Resident Evil,Resident Evil 6,resident_evil_6,interested_not_started,next,"Already on your radar and easy to evaluate after RE4 RE5 RE7 and Village."
UFP020,REM032,resident_evil_master,Resident Evil,Resident Evil 7: Biohazard,resident_evil_7,completed,played,"Another high-confidence horror fit."
UFP021,REM037,resident_evil_master,Resident Evil,Resident Evil Village,resident_evil_village,completed,played,"Strong fit around atmosphere pacing and gameplay."
UFP022,REM040,resident_evil_master,Resident Evil,Resident Evil 4 (2023 Remake),resident_evil_4_remake,completed,played,"Confirms that this franchise still lands in modern form."
UFP023,KHM001,kingdom_hearts_master,Kingdom Hearts,Kingdom Hearts,kingdom_hearts,completed,played,"Liked but clearly below KH2."
UFP024,KHM003,kingdom_hearts_master,Kingdom Hearts,Kingdom Hearts: Chain of Memories,kingdom_hearts_chain_of_memories,completed,caution,"Story pull won over the card-system loop."
UFP025,KHM004,kingdom_hearts_master,Kingdom Hearts,Kingdom Hearts II,kingdom_hearts_ii,completed,played,"Your strongest Kingdom Hearts signal so far."
UFP026,KHM021,kingdom_hearts_master,Kingdom Hearts,Kingdom Hearts III,kingdom_hearts_iii,completed,played,"Completed on Xbox; strong positive signal for lore, variety of gameplay, and pacing."
UFP035,KHM022,kingdom_hearts_master,Kingdom Hearts,Kingdom Hearts III + Re Mind,kingdom_hearts_iii_re_mind,completed,played,"Re Mind payoff content landed strongly; reinforces that you like KH when it leans into lore and momentum."
UFP036,KHM019,kingdom_hearts_master,Kingdom Hearts,Kingdom Hearts HD 2.8 Final Chapter Prologue,kingdom_hearts_hd_2_8_final_chapter_prologue,completed,played,"Completed on Xbox; mixed-structure collection but overall positive."
UFP027,CVM019,castlevania_master,Castlevania,Castlevania: Circle of the Moon,castlevania_circle_of_the_moon,completed,played,"Completed at 100 percent and strong metroidvania evidence."
UFP028,CVM021,castlevania_master,Castlevania,Castlevania: Harmony of Dissonance,castlevania_harmony_of_dissonance,completed,played,"Another clean positive metroidvania fit."
UFP029,CVM022,castlevania_master,Castlevania,Castlevania: Aria of Sorrow,castlevania_aria_of_sorrow,completed,played,"One of your strongest portable exploration fits."
UFP030,CVM024,castlevania_master,Castlevania,Castlevania: Dawn of Sorrow,castlevania_dawn_of_sorrow,completed,played,"Confirms the DS and GBA line is a core taste signal."
UFP031,MGM005,metal_gear_master,Metal Gear,Metal Gear Solid,metal_gear_solid,completed,played,"High-confidence story and stealth fit."
UFP032,MGM013,metal_gear_master,Metal Gear,Metal Gear Solid 3: Snake Eater,metal_gear_solid_3,completed,played,"Another major positive anchor for stealth-action storytelling."
UFP033,MGM021,metal_gear_master,Metal Gear,Metal Gear Solid 4: Guns of the Patriots,metal_gear_solid_4,completed,played,"Strong saga-payoff tolerance when the emotional return is high."
UFP034,MGM029,metal_gear_master,Metal Gear,Metal Gear Rising: Revengeance,metal_gear_rising_revengeance,completed,played,"Stylish action that worked because the campaign hook stayed strong."
